,Vernier,Cam,L,Lambda,Lp,Ld,Time
97,-0.0,0.5863052090075257,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6603696680200613,0.35800909996032715
98,-0.0,0.8359346367478888,1.6410509666240813,1.2996109450322775,1.6066499091911453,1.6818073397206026,0.35807275772094727
99,-0.0,0.6509693889372097,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6459496674444187,0.35804033279418945
100,-0.0,0.7358790965129898,1.6410509666240813,1.2996109450322775,1.6287435938720565,1.6537217391861345,0.3590390682220459
101,-0.0,0.799921520428316,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6750058210114238,0.36003994941711426
102,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35901522636413574
103,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3590703010559082
104,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.36003613471984863
105,-0.0,0.6333091234070878,1.6410509666240813,1.2996109450322775,1.6176255113756741,1.6603696680200613,0.35904359817504883
106,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.36004018783569336
107,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3590402603149414
108,-0.0,0.7822891377036912,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6537217391861345,0.35805797576904297
109,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3620021343231201
110,-0.0,0.734525768192151,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6525452069723772,0.37004733085632324
111,-0.0,0.8180063902444477,1.6410509666240813,1.2996109450322775,1.614323533026528,1.661553946974666,0.3570413589477539
112,-0.0,0.5485817543332346,1.6410509666240813,1.2996109450322775,1.6055800413417223,1.6525452069723772,0.3580179214477539
113,-0.0,0.734525768192151,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6525452069723772,0.3580760955810547
114,-0.0,0.7161809221737154,1.6410509666240813,1.2996109450322775,1.614323533026528,1.665883427918705,0.3590390682220459
115,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3590390682220459
116,-0.0,0.764192311936262,1.6410509666240813,1.2996109450322775,1.6265394184859767,1.665883427918705,0.3590402603149414
117,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.3590397834777832
118,-0.0,0.6240787689888243,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.665883427918705,0.3590095043182373
119,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.35807347297668457
120,-0.0,0.7732454679593964,1.6410509666240813,1.2996109450322775,1.6276393334196315,1.6603696680200613,0.3590109348297119
121,-0.0,0.6794098549082592,1.6410509666240813,1.2996109450322775,1.6165205489214445,1.6603696680200613,0.36006712913513184
122,-0.0,0.7248495792798489,1.6410509666240813,1.2996109450322775,1.6088304915777774,1.6603696680200613,0.36103391647338867
123,-0.0,0.7717042081609018,1.6410509666240813,1.2996109450322775,1.614323533026528,1.6603696680200613,0.3590412139892578
